page_number,url,http_status_code,page_title,html_filename,txt_filename,html_size_bytes,word_count,timestamp,status
1,https://news.fnal.gov/,200,Newsroom,0001_news.fnal.gov.html,0001_news.fnal.gov.txt,132306,1458,2026-06-10 13:25:04,SUCCESS
2,https://education.fnal.gov/,200,Fermilab Education and Public Engagement,0002_education.fnal.gov.html,0002_education.fnal.gov.txt,88419,716,2026-06-10 13:25:06,SUCCESS
3,https://education.fnal.gov/about/,200,About – Fermilab Education and Public Engagement,0003_education.fnal.gov_about.html,0003_education.fnal.gov_about.txt,70380,688,2026-06-10 13:25:08,SUCCESS
4,https://education.fnal.gov/program/stem-outreach/,200,STEM outreach – Fermilab Education and Public Engagement,0004_education.fnal.gov_program_stem-outreach.html,0004_education.fnal.gov_program_stem-outreach.txt,83068,814,2026-06-10 13:25:10,SUCCESS
5,https://www.fnal.gov/pub/about/index.html,403,,,,0,0,2026-06-10 13:25:13,FAILED
6,https://news.fnal.gov/tag/ai/,200,AI Archives - News,0006_news.fnal.gov_tag_ai.html,0006_news.fnal.gov_tag_ai.txt,97313,914,2026-06-10 13:25:14,SUCCESS
7,https://www.fnal.gov/pub/community/hours.html,403,,,,0,0,2026-06-10 13:25:16,FAILED
8,https://news.fnal.gov/2026/05/fermilab-leads-multi-lab-ai-initiative-to-accelerate-design-of-chips-used-in-extreme-environments/,200,Fermilab leads multi-lab AI initiative to accelerate design of chips used in extreme environments,0008_news.fnal.gov_2026_05_fermilab-leads-multi-lab-ai-initi.html,0008_news.fnal.gov_2026_05_fermilab-leads-multi-lab-ai-initi.txt,92697,1440,2026-06-10 13:25:18,SUCCESS
9,https://news.fnal.gov/2026/04/fermilab-celebrates-2026-quantum-science-program-graduates/,200,Fermilab celebrates 2026 quantum science program graduates,0009_news.fnal.gov_2026_04_fermilab-celebrates-2026-quantum-.html,0009_news.fnal.gov_2026_04_fermilab-celebrates-2026-quantum-.txt,90408,1292,2026-06-10 13:25:20,SUCCESS
10,https://education.fnal.gov/lederman-science-center/,200,Lederman Science Center – Fermilab Education and Public Engagement,0010_education.fnal.gov_lederman-science-center.html,0010_education.fnal.gov_lederman-science-center.txt,85040,610,2026-06-10 13:25:22,SUCCESS
11,https://news.fnal.gov/2026/04/fermilab-completes-its-part-in-upgrading-worlds-most-powerful-x-ray-laser/,200,Fermilab completes its part in upgrading world’s most powerful X-ray laser,0011_news.fnal.gov_2026_04_fermilab-completes-its-part-in-up.html,0011_news.fnal.gov_2026_04_fermilab-completes-its-part-in-up.txt,101496,2244,2026-06-10 13:25:25,SUCCESS
12,https://news.fnal.gov/category/newsroom/press-release/,200,Press releases Archives - News,0012_news.fnal.gov_category_newsroom_press-release.html,0012_news.fnal.gov_category_newsroom_press-release.txt,96855,984,2026-06-10 13:25:27,SUCCESS
13,https://news.fnal.gov/2026/05/dune-will-use-liquid-argon-time-projection-chamber-technology-both-near-and-far/,200,DUNE will use liquid-argon time projection chamber technology both near and far,0013_news.fnal.gov_2026_05_dune-will-use-liquid-argon-time-p.html,0013_news.fnal.gov_2026_05_dune-will-use-liquid-argon-time-p.txt,97434,1829,2026-06-10 13:25:30,SUCCESS
14,https://news.fnal.gov/2026/04/new-electronically-tunable-quantum-detector-speeds-up-search-for-dark-matter/,200,New electronically tunable quantum detector speeds up search for dark matter,0014_news.fnal.gov_2026_04_new-electronically-tunable-quantu.html,0014_news.fnal.gov_2026_04_new-electronically-tunable-quantu.txt,94438,1613,2026-06-10 13:25:32,SUCCESS
15,https://www.fnal.gov/pub/science/particle-detectors-computing/index.html,403,,,,0,0,2026-06-10 13:25:34,FAILED
16,https://www.fnal.gov/pub/resources/industrial-partnerships/index.html,403,,,,0,0,2026-06-10 13:25:36,FAILED
17,https://www.fnal.gov/pub/community/index.html,403,,,,0,0,2026-06-10 13:25:37,FAILED
18,https://www.fnal.gov/pub/visiting,403,,,,0,0,2026-06-10 13:25:39,FAILED
19,https://news.fnal.gov/2026/03/a-chilling-new-search-for-dark-matter-will-soon-be-underway/,200,A chilling new search for dark matter will soon be underway,0019_news.fnal.gov_2026_03_a-chilling-new-search-for-dark-ma.html,0019_news.fnal.gov_2026_03_a-chilling-new-search-for-dark-ma.txt,99315,2223,2026-06-10 13:25:41,SUCCESS
20,https://news.fnal.gov/category/in-the-news,200,In the news Archives - News,0020_news.fnal.gov_category_in-the-news.html,0020_news.fnal.gov_category_in-the-news.txt,82816,796,2026-06-10 13:25:43,SUCCESS
21,https://news.fnal.gov/search,200,Search for hidden chambers using cosmic-ray muons – Public lecture by Mark Adams,0021_news.fnal.gov_search.html,0021_news.fnal.gov_search.txt,69441,324,2026-06-10 13:25:45,SUCCESS
22,https://news.fnal.gov/tag/dune/,200,DUNE Archives - News,0022_news.fnal.gov_tag_dune.html,0022_news.fnal.gov_tag_dune.txt,94046,985,2026-06-10 13:25:47,SUCCESS
23,https://news.fnal.gov/2026/04/largest-neutrino-experiment-in-the-us-wins-project-of-the-year-award/,200,Largest neutrino experiment in the US wins Project of the Year Award,0023_news.fnal.gov_2026_04_largest-neutrino-experiment-in-th.html,0023_news.fnal.gov_2026_04_largest-neutrino-experiment-in-th.txt,91769,1345,2026-06-10 13:25:49,SUCCESS
24,https://news.fnal.gov/category/ext/in-the-news,200,In the news Archives - News,0024_news.fnal.gov_category_ext_in-the-news.html,0024_news.fnal.gov_category_ext_in-the-news.txt,82988,796,2026-06-10 13:25:51,SUCCESS
25,https://news.fnal.gov/newsroom/contact/,200,Contact us,0025_news.fnal.gov_newsroom_contact.html,0025_news.fnal.gov_newsroom_contact.txt,72526,406,2026-06-10 13:25:54,SUCCESS
26,https://news.fnal.gov/tag/quantum/,200,quantum Archives - News,0026_news.fnal.gov_tag_quantum.html,0026_news.fnal.gov_tag_quantum.txt,89642,850,2026-06-10 13:25:56,SUCCESS
27,https://www.fnal.gov/pub/disclaim.html,403,,,,0,0,2026-06-10 13:25:58,FAILED
28,https://www.fnal.gov/pub/science/index.html,403,,,,0,0,2026-06-10 13:25:59,FAILED
29,https://news.fnal.gov/2026/05/fermilab-marks-major-milestone-for-world-leading-dune-experiment/,200,Fermilab marks major milestone for world-leading DUNE experiment,0029_news.fnal.gov_2026_05_fermilab-marks-major-milestone-fo.html,0029_news.fnal.gov_2026_05_fermilab-marks-major-milestone-fo.txt,95393,1689,2026-06-10 13:26:01,SUCCESS
30,https://news.fnal.gov/2026/05/anna-grassellino-appointed-to-doe-office-of-science-advisory-committee/,200,Anna Grassellino appointed to DOE Office of Science Advisory Committee,0030_news.fnal.gov_2026_05_anna-grassellino-appointed-to-doe.html,0030_news.fnal.gov_2026_05_anna-grassellino-appointed-to-doe.txt,87436,990,2026-06-10 13:26:03,SUCCESS
31,https://news.fnal.gov/newsroom/subscribe-to-fermilab-frontiers,200,Subscribe to Fermilab Frontiers,0031_news.fnal.gov_newsroom_subscribe-to-fermilab-frontiers.html,0031_news.fnal.gov_newsroom_subscribe-to-fermilab-frontiers.txt,72660,337,2026-06-10 13:26:05,SUCCESS
32,https://www.fnal.gov/pub/resources/index.html,403,,,,0,0,2026-06-10 13:26:07,FAILED
33,https://news.fnal.gov/2026/05/using-ai-fermilab-researcher-probes-how-transistors-behave-in-extreme-cold/,200,"Using AI, Fermilab researcher probes how transistors behave in extreme cold",0033_news.fnal.gov_2026_05_using-ai-fermilab-researcher-prob.html,0033_news.fnal.gov_2026_05_using-ai-fermilab-researcher-prob.txt,94478,1898,2026-06-10 13:26:09,SUCCESS
34,https://news.fnal.gov/newsroom/news/,200,News and features,0034_news.fnal.gov_newsroom_news.html,0034_news.fnal.gov_newsroom_news.txt,100268,992,2026-06-10 13:26:11,SUCCESS
35,https://news.fnal.gov/2026/06/fermilab-and-harmoniqs-integrate-open-source-tools-to-advance-qubit-control-optimization/,200,Fermilab and Harmoniqs integrate open-source tools to advance qubit control optimization,0035_news.fnal.gov_2026_06_fermilab-and-harmoniqs-integrate-.html,0035_news.fnal.gov_2026_06_fermilab-and-harmoniqs-integrate-.txt,93790,1316,2026-06-10 13:26:12,SUCCESS
36,https://www.fnal.gov/pub/science/particle-physics-101/index.html,403,,,,0,0,2026-06-10 13:26:14,FAILED
37,https://www.fnal.gov/staff-directory,403,,,,0,0,2026-06-10 13:26:16,FAILED
38,https://news.fnal.gov/news,200,News and features,0038_news.fnal.gov_news.html,0038_news.fnal.gov_news.txt,100268,992,2026-06-10 13:26:17,SUCCESS
39,https://www.fnal.gov/,403,,,,0,0,2026-06-10 13:26:20,FAILED
40,https://news.fnal.gov/2026/05/mark-ross-lonergan-elected-co-spokesperson-for-microboone-collaboration/,200,Mark Ross‑Lonergan elected co-spokesperson for MicroBooNE collaboration,0040_news.fnal.gov_2026_05_mark-ross-lonergan-elected-co-spo.html,0040_news.fnal.gov_2026_05_mark-ross-lonergan-elected-co-spo.txt,89290,1256,2026-06-10 13:26:21,SUCCESS
41,https://news.fnal.gov/2026/03/fermilab-drives-progress-for-national-ai-genesis-mission/,200,Fermilab drives progress for national AI Genesis Mission,0041_news.fnal.gov_2026_03_fermilab-drives-progress-for-nati.html,0041_news.fnal.gov_2026_03_fermilab-drives-progress-for-nati.txt,96251,1494,2026-06-10 13:26:23,SUCCESS
42,https://news.fnal.gov/tag/qick/,200,QICK Archives - News,0042_news.fnal.gov_tag_qick.html,0042_news.fnal.gov_tag_qick.txt,89925,831,2026-06-10 13:26:25,SUCCESS
43,https://www.fnal.gov/pub/science/particle-accelerators/index.html,403,,,,0,0,2026-06-10 13:26:27,FAILED
44,https://news.fnal.gov/tag/partnership/,200,partnership Archives - News,0044_news.fnal.gov_tag_partnership.html,0044_news.fnal.gov_tag_partnership.txt,91786,836,2026-06-10 13:26:29,SUCCESS
45,https://news.fnal.gov/2026/04/fermilab-teams-up-with-niu-to-launch-quantum-science-program/,200,Fermilab teams up with NIU to launch quantum science program,0045_news.fnal.gov_2026_04_fermilab-teams-up-with-niu-to-lau.html,0045_news.fnal.gov_2026_04_fermilab-teams-up-with-niu-to-lau.txt,91166,1285,2026-06-10 13:26:31,SUCCESS
46,https://news.fnal.gov/newsroom/social-media/,200,Social media,0046_news.fnal.gov_newsroom_social-media.html,0046_news.fnal.gov_newsroom_social-media.txt,80885,587,2026-06-10 13:26:33,SUCCESS
47,https://news.fnal.gov/fact-sheets/,200,Fact sheets,0047_news.fnal.gov_fact-sheets.html,0047_news.fnal.gov_fact-sheets.txt,106848,602,2026-06-10 13:26:35,SUCCESS
48,https://news.fnal.gov/category/newsroom/fermilab-feature/,200,Fermilab features Archives - News,0048_news.fnal.gov_category_newsroom_fermilab-feature.html,0048_news.fnal.gov_category_newsroom_fermilab-feature.txt,96608,909,2026-06-10 13:26:37,SUCCESS
